제목,댓글,내용
그래도 지케이에 쳐물린것보다,,비트나 이더에 쳐물린게 낫지 저건답도없다
바이낸스  숏 거래 아시는분 ?,,ㅇㅇ?  - dc official App
이더리움 개 ㅅㅂ련,,ㅡㅡ
살아 남는 방법은  바이낸스  숏인가 !,,ㅇㅇ?  - dc official App
지케이싱크   설거지 어쩜 좋냐 진짜  !!   뉴스에 나오겠는데,,심하다  - dc official App
뉴스보니까 알트코인은 0원까지 추가 발행 하면서 팔아 먹는다고,,하던데.. 진짜 였음.  - dc official App
엘프 ㅈ같은 새ㄲ,,ㅅㅂ
약속의 12시 일론머스크의 불알을 건 펌핑이 시작된다,,도지타라 200프로오를 삘온다
개악질 국내거래소  쓰레기 알트들   !!!  스캠 쓰레기들,,..  - dc official App
아더 업데이트 2월4일까지,,4일까진 가두리다 새끼들아 ㅋㅋ ?  달려보즤
ㅋ 들어갈때는 좋지 풀시드 갈려봐라,,마이너스 -90프로 보고 이제야 뭐가 현실인지 깨닫고 괴로울 시간만 남았지
비트 자금 1000조 빠졌다,,뭔말알?ㅋㅋ
주식도 상폐여도   -90%까지 빠지지는  않는다.,1,코인 참..  - dc official App
agi 나오면 양자컴퓨팅 발전할거라니까,,그러면 코인 전부 의미가 없지그래서 고래들이 계속 팔기만 하는 거 같은데걍 시장에서 나와
알트코인은  -99%  상태인데  계속 빠지네.   코인판 참  별루네요,,..  - dc official App
비트 74k 찍고 250k 가면 다 용서해주냐,,그간 고아무빙한거
비트1억깨진다ㅋㅋ,,그이후 찐반등장시작할듯ㅋㅋ
아더니들이나사 ㅋㅋㅋㅋ,1,븅 신들앜ㅋㅋ- dc official App
아더랑 지케이랑 같은줄아노 ㅋㅋㅋㅋㅋㅋㅋㅋ,,정신들 차려라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아더는 못간다 애들아 ㅋㅋㅋㅋㅋㅋㅋ  - dc official App
한국이 해외입양 세계1위인 이유.jpg,,ㄷㄷ https://m.dcinside.com/board/neostock/6943408  한국이 해외입양 세계 1위인 이유.jpg  - 주식 갤러리명예백인 미혼 한녀들이 양남이랑 혼외자식 애낳고 죄다 해외입양 보낸게 세계 1위 찍음 그러고 본인은 처녀인척 세탁해서 퐁퐁남 물어서 결혼하는게 한국여자들의 유구한 전통임 일본에 혼혈이 많다고? ㅋㅋㅋ 한국은 죄다 니들m.dcinside.com
아더 매도벽 1000억인데 ㄷ,,- dc official App
속버 스토리 2천 붕괴 ㅆㅂ,,ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ- dc official App
아더 업비트 보유량 증가,,업비트 마켓인사이드 보면  오늘 야금야금 아더 지분 늘어난거 나옴ㅇㅇ  오늘 새벽에  존나쏜다는더
비트코인  큰손들 다 떠나네 !   코인판도 끝났구나,,..  - dc official App
스트라티스 상폐함??,,- dc official App
은 가격박살 났는데 이더 비트는 가짜자너,,튀어 병신들아
지금 손발이 덜덜 떨리면 개추,,개시발 ㅇㄷㄴㅂㅌ..
코인판 ㅈ댔다 다 튀어라,,비트 1억깨지기 직전이더 350터짐
와 !   BTC   -10%  각이네.   다들  탈출  !!,,ㅇㅇ  - dc official App
아더 200위로 시체가 없네 시바 ㅋㅋㅋ,,쏠때마다 늘 200은 넘겼는데 오늘 1000% 보여주나
형이 힌트준다,1,이미 쌌던건데 급하게 쏘고 꽂고여기서 언급없는거 중 꿈틀거리는거 하나있다
와 그냥 다떨어지네,,이게 가능하다고?
코스피 코스닥 아무거나 넣어도 돈복사되는데,,니들은 왜 나서서 돈 잃고 있냐??생각이 있는거냐- dc official App
코스피 코스닥 아무거나 넣어도 돈복사되는데,,니들은 왜 나서서 돈 잃고 있냐??생각이 있는거냐- dc official App
알트누가삼? ㅋㅋㅋㅋ숏으로,,1월달만 1억에서 2억7천만듬 저배숏1배 분할로 5종목씩들감ㅋㅋㅋ- dc official App
지케이 지금 자리 나쁘지않네 장기로 본다,,ㅇㅇ
찾았다 다음타자 승률 90임ㅋㅋㅋ,,ㅈㄴ 조용히 여기서 언급도없노
안ㅡㅡㅡㅡ락ㅡㅡㅡㅡ사ㅡㅡㅡㅡ해ㅡㅡㅡㅡ줘,,
코인 아무데서나 얻는방법있냐?,2,"형, 나 진짜 구걸 염치없는 거 아는데... 딱 천원만 벌 수 있는 곳 없냐? 나 07년생인데 학교 반년 일찍 졸업하고 지금 외국 나와서 대학 다니고 있거든. 근데 이게 학생 비자라 알바를 하고 싶어도 법적으로 막혀서 돈을 아예 못 번다. 코인 지금 청산당해서 개그지여서 물어본다. 비자 문제 안 엮이고 그냥 코인 전송으로 소액이라도 받을 수 있는 커뮤니티나 방법 아는 형들 있냐? 본인 인생 ㅈ됐다"
새벽중에 지케이 250까지는 무난히 회복 되겠네,,다들 반등 한번 기다리면서 눈치보고 있노? ㅋㅋㅋㅋㅋ
아더 안산 흑우없제,,내부자 2시간전에 유출되서 미리탔는데아직도 안탄다???  대가리 깨진겨
업비트도  탈퇴하고 싶네.   온지 반나절 만에  ...,,..  - dc official App
아더랑 지케이랑 같은줄아노 ㅋㅋㅋㅋㅋㅋㅋㅋ,,정신들 차려라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아더는 못간다 애들아 ㅋㅋㅋㅋㅋㅋㅋ  - dc official App
이더가 하락을 집도한다 했제?,,ㅇㅇ
ㅅㅂ내가 파니깐 처오르네,,ㅈ같은 코인판
코인 0원화가  진짜였네.  봇질로  하루에  -10%가까이 매일 빠지네,,ㅇㅇ  - dc official App
코인은 안하는게 돈버는거다,1,- dc official App
코인은 하는게 아니야 주식처럼 언젠가 회복하는거도 아니고,1,코인은 고점찍고 회복못하는게 거의다야주식은 자기투자하면 대부분 회복하지만
진짜 매일매일하락이네ㅋㄱㅋ,,하락장인듯ㅋㅋㄱㄱㅅㅂ 코인왜함
아니 ㅅㅂ,,이시간만되면 왜자꾸빠지는건데
페페 1억숏,,ㅋㅋㅋ- dc official App
위치토큰 사라. 이틀뒤 발표,,ㅇㅇ
아더 12시부터 입출금 잠긴다  언넝타라,1,꽉잡고 달나라가즈아
알트 0원화 시키면서 숏 선물 하는거야?   주동자는 누구냐,,ㅇㅇ  - dc official App
어떤 여자가 나은지 알려줘 결정사 기준으로요,,"여자 a

외모: 예쁘장

나이: 20대 초반

학벌은 5점 만점으로 하면 2점

집안은 5점 만점에 2점




여자 b

외모: 평범

나이: 20대 후반

학벌은 5점 만점에 4점 정도

집안은 5점 만점에 3점 정도




어떤 여자가 더 나아?"
찐반이다. 자 드가자~,,- dc official App
지케이 자전 위에 긁고 지지안해주면서털어먹노,,ㄹㅇ
죄다 설거지 구나.  결국 0원화네..  코인판 끝이네,,..  - dc official App
신규코인  물린 분들은 바로 손절 해야지.  10토막 날텐데,,...  - dc official App
BTC  하락은 멈출것 같지 않고.    코인은 안하는게 돈 버는길 일듯,,..  - dc official App
시이팔 아더로딴돈 아크로잃었네,1,ㅅㅂ
스토리 상폐하나 씨발,,ㅈㄴ떨어지네- dc official App
넥캔 ㅅㅂ 이번 캔들 떡락 맞췄네,,정답지 유출했는데도 못먹었은 흑우 없제
지케이왜사노 ㅋㅋㅋㅋ,,10배 국제가격보다 뻠핑나온거왜삼?- dc official App
지케이 보따리들 개좆망 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,전송중인데 업빗 빗썸 가격 맞춰졌노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
지케이 그냥 3천 샀다 ㅅㅂ ㅡㅡ,,니애미 ㅋㅋ
시바이누 가즈아,,이제 시바이누 끌얼좀ㅠㅠ
디케이싱크 기차 출발합니다.,,다음역은 70원 70원역입니다.잊지말고 모두 하차해 주시길 바랍니다.
코인 하면 안되는 이유,,1. 하락종목이 훨씬 많음 - 지금 알트 쏜다고 하는데 하락종목이 훨씬 많음2. 수익대비 위험도가 너무 높음 - 쏜다라는 그 코인들도 1% 확률도 안되는데 나머지 상승 종목들도 1% 수준임. 그에비해 상폐 리스크가 너무 높음좀 잃었다고 오기로 투자할만한 상품들은 아닌듯
지케이 씨8뇬 반등주는척ㅋㅋ 떨궈,,ㅋ
대체 지금 이더 현물 산다는 침팬치는 생각잇노?,,벙슨 ㅋ
아 시빅 ㅈ댔네 넌 손절 100배숏이다,,ㅅㅂ롬
1테더만부탁드립니다..사장님들,1,..
가스가는거냐,,ㅇㅇ
아크타라진짜..,,600까지갈듲
근데. 펌핑은 있어도  결국 0원화네.  안팔면  0원화 됨.,,ㅇㅇ  - dc official App
가스도 오늘 입출금 막히는날,,근데 이상하네요ㅎ 완료인가;;
12시 넘으면 알지?,,폭풍폭락폭풍폭락12시 넘으면 개떡락이다
니들은 어린시절 학원비보다 코인으로 더 많이 잃네,,이상하다분명히 부모님이 공부열심히 하라고 학원비 많이 태웠는데애새끼는 커서 코인으로 돈만 태우네 zzzzㅋㅁㅋㅋㅋㅋ
내일 1등 경주마 플룸 ㄱㄱ,,알지?
가스  가자 !!,,100%  - dc official App
가스 어떠냐,,괜찮냐
아니시발.. 차트보니까 중간선거1년내내 떨어졌었네,,이제 1월인데 100만원대 가것다 ㅅㅂ
900프로이상에서 20프로는 시발 진짜 본적없다,,미친새낀가 ㅋㅋㅋ - dc official App
아더랑 지케이랑 같은줄아노 ㅋㅋㅋㅋㅋㅋㅋㅋ,,정신들 차려라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아더는 못간다 애들아 ㅋㅋㅋㅋㅋㅋㅋ  - dc official App
지케이싱크  10분의1토막 나겠는데  ㅋㅋㅋㅋ,,잔인하다  - dc official App
지케이가 입금금지되는거아니면 끝났음,,빗썸보다 10프로만 올라봐라 어떻게되나 ㅋㅋ따리하지 ㅋㅋ
근데 비트는 왜케 약빨 떨어짐?,,1억 4천이 엊그제 같은데
아더가 12시되면 니들상상처럼가줄거같냐,1,지케이는 기습이었고아더는 보따리이미차고찼다입출금막힌거좋아하면차라리 비티씨 루프링 나폴리를 사라 ㅋㅋ
엑시 급등 합니다 ~~ 풀매수 가즈아!!!,,
온체인,,Tradeable markets 출시 예정이라는데 커먼 근본이네 ㅋㅋㅋㅋ커뮤니티 네이티브 거래 상장 및 투기 등 모든 과정이 Common의 온체인에서 이루어진다하니 지켜봐도 개안긋네 ㅋㅋ
치킨하나만 구제되는분들만,,케이뱅크
빗썸은  코인  85%가  하락중 이네.   ㅉㅉ,,ㅇㅇ  - dc official App
라면하나만 구제되시는 비트큰손형,,T9z7qXVkaYu9jva3Ern5xVSarnh6A2ZJ5P 테더트론 K이뱅크 100 141470165 조금만  - dc official App
센티언트 애 관망 좋아보이냐?,,ㅇㅇ
빗썸 동전주노린다,,빗썸 같은날 펌핑왓던 동전주들동전주는 펌핑올때 줄먹할 용도로 조금씩 담아두는거좋을듯다른 거에비해 펌핑하면 몇배 씩 익절가능하니호강창 확인 필수
아크 탈출..,,설거지스캠코인
지케이 다시 들어감,1,이대로 안끝남 ㄹㅇ
아더 저거 심상치않다 900원갈듯ㅇㅇ 제2의아르고,,응 안잊었어 병신아 안팜 ㅅㄱ 평단 88.4  - dc official App
저점 다 와가네 조롱이 극에 달하면 저점이다,,2월달에 저점갔다가 달나라 가겠네   - dc official App
아더도12시에날라가냐?,,어케댈거같음?낼 출근이라 매수하고자면 ㅈ대겠지??
참 시체밭이 잘도 오르겠다 ㅋㅋ,,ㅗ
아크..설거지..,,미쳤네
ㅎㅇ,,ㅎㅇ
업비트 다시 넘어 오니까  은행 바꿔야 해서  적응 안되네,,ㅇㅇ  - dc official App
코인개폭락하노 ㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
아크힘알지?,1,가볍고 다풀렸고
지케이싱크 70원 간다니까???,,개미들아 뭐하냐 들가자~~
아크 다던지네ㅋㅋㅋㅋ,,설거지코인
지케이 개미꼬시기 머냐 나 설레,,- dc official App
지케이,,니들  천프로 눈탱이 당하고도 가만히있냐 고소들좀해라 업비트 이대통령 주가조작 아작낸다고 공약했는데 코인 조작질도 아작내줄거 같은데 청와대 민원좀 넣어봐
미안한데 비트이더리플솔라나도지에이다 이런거 하락 시작도안함,,지금가격 싸다고 줍지마라ㅋㅋ 다 학습되서 싸게 느껴지는거임 10토막은 나야 사볼만하지 메이저알트ㅇㅇ  - dc official App
머노 아침에 분명 지케이 머시기 600퍼 700퍼 하고있었는데,,ㄷㄷㄷ
오늘 한 8퍼센트 벌었네,2,130먹엇네 오늘 방어회 배달간다  - dc official App
와.  가스   하나 먹네.      가스 갈것 같았다.,,ㅇㅇ  - dc official App
지케이 70원까지는 갈듯,,물론 나는 안들감
도박이지만 만원으로 100만원까지 불리기 ㄱㄴ?,1,확률 0.00001%로 낮겟지? 그냥 장기적으로 10년 20년 안전하게 대량 주식으로 투자하는게낫지?
화교분탕들의 야념작전질 단적인 사례,,"이 글을 작성하고 올리도록 등 떠밀어주신,

ㅋㅋㅇ엔터 불법 바이럴 퇴치를 위해 힘 써주시는

뿌팍스님

티롱씨님 

감사드려요^^"
비트코인 30K까지 급락 가능성,,다ㅡㅡㅡㅡ튀ㅡㅡㅡㅡㅡㅡ어 !!트럼프 폭격 준비중
아귀형이다 형이뭐랬냐 ㅋㅋ,,하락 흐름에 올라타라구
지케이 멋지다 개미꼬시기,,ㅋ
ㅋㅋ 지케이 49에 들어갔다가,,-18% 먹었다내 치킨값 ㅠ
지케이 아직도 설거지네 아더로먹은거 날렸네,,ㅅㅂ
이더리움은 주워도 될거같은데 길게보면,4,"1주도안되서 대부분 매수자들이 405 415사이임




12 13프로이상은 손해고




그위로는 -20 30프로 2 3주만에 눈물쏟고있음




남이 손해볼때 사야 이득을보지 ㅋㅋ




그리고

이더 주봉 200일밑에서는 기회줬음




뭐 항상 우상향한다 이건 아니겠지만




코인판 진짜 망한거아니면 200일은 지켜야 장투자들




투심이 붙지




지금 2393불이니까 진짜 2000불까지 계속매수한다고




하면 손해는안보겠지 씨벌"
업비트만 불장 이로다  !!!,,ㅇㅇ  - dc official App
와 시팔 아크로10%넘게 갈렸네,,ㅅㅂ
지금 어디에 투자하는게 맞냐,7,ㅇㅇ
아더 800원가겠노,,ㄹㅇ
가스 쏜다 ㅇㅇ,,가스 쏜다 꽉잡아라
아크에5000박음,2,사지마라 나만다먹을거니깐
시빅 100원올려라,,시박
개등신 코인들,,220으로 오늘시작했는데 120남았네 사는것마다 왜자꾸 쳐박는거냐 뭔 한시간도 유지못하고 쳐내리노 개병신코인들이네
아크 조정하면서 깔끔하게 상승하는구만,1,먼 설거지 ㅋㅋ  - dc official App
시이팔 아더로딴돈 아크로잃었네,,ㅅㅂ
고인물 코인만 펌핑 주는구나 !!,,ㅇㅇ  - dc official App
아크힘알지?,,가볍고 다풀렸고
1분봉에 80퍼가 내리는건 처음보네 ㅋㅋ,,레전드..
아크 병ㅅ코인 ㅅㅂ,,ㅅㅂ
딱 기다려라 지크야 500원간다,,ㅋㅋ지케이싱크 화이팅
업비트 가입자 폭발 하네 !,,...  - dc official App
차트 볼때마다 기가 막히네,,ㅋㅋㅋㅋㅋㅋㅋ  - dc official App
시빅100원가라,,시발
시발 뭔 알트는 죄다 상폐예정이냐,,좆병신 코인판
아크 시팔아 ㅈㄴ설거지코인이네,,ㅅㅂ
업비트  입금금지만 사자,,ㅇㅇ  - dc official App
아크다 이번대장은,,시총도낮고 다풀렸고
아더 다음 아크 다음ᆢ,,리스크??
50원부터 58원에 물린놈들 꽤있을듯,,거래량이 올라갈때보다 30배터졌음씨발 저 저항대를 누가뚫어주노 ㅋㅋ
시발롬의 코인은 하지마라,,하는짓봐라 시발이건 투자도 아니고 차라리 바카라 팅구는게 낫다 - dc official App
아더  아크.   이름이 비슷하네,,..  - dc official App
익절할때 걍 시장가로 팔아야되냐?,,아까 익절못하고 취소못해서 손해보고있다..
아크타라진짜..,,600까지갈듲
시빅 100원,,시발
새벽반 대장 아크 ㄷㄷㄷ,,ㄷㄷㄷㄷㄷㄷㄷ
아크..미쳐쎼,,와 진짜 찐폭등ㄷㄷ
리스크 가네,,
아크 세력탔다..600까지오를듯,,"미쳤네 ..,"
지케이ㅋㅋㅋㄱㄱㄱㄱ ㅋㄱㄱㄱㄱ,1,와 이거  물린놈 많음?ㅋㅋㅋㅋ  - dc official App
한강물 차냐,1,시발
시빅,,시발
업비트 공시 뜨면 100% 먹네,,ㅅㅂ 부럽다
이거 손절해야되나요??ㅠㅠㅠ,2,하...
업비트   아더 입금 가능 하네.,,왜지  - dc official App
지금 고점대비 전부 반토막났는데,1,지금 들어가도될까요?여윳돈 5000정도생겨서요고견부탁드립니다...
다 끝난 지케이 아직도 안던져??,,뭔깡이냐
지케이 50층이다 대가리 뜨거운데 어떡하냐,1,ㅇㅇ
업비트가   주식처럼  기회의 장이다 !!,,ㅇㅇ  - dc official App
가스는 상폐안하나,,ㅅㄴㅇ
숏 가즈아,,- dc official App
니넨 뭐하냐,,-
찐공포 안왔다,,ㅇㅇ- dc official App
가스 개 ㅂㅅ이,,ㅅㅂ
차트잘보는사람있음?,3,"세력이 30원에 사서




좃나올리면서




270 220에 20프로털고




나머지를 60 50원에 털었다는건데




이게 이익이 남냐?




굳이 9배까지 올려서 설겆이 해야됨?"
